lat,lon,annual_energy_kwh,specific_yield_kwh_per_kwp
47.5,6.0,11229.2452856785,1122.92452856785
47.5,7.0,11869.951671549676,1186.9951671549675
47.5,8.0,11379.381528818427,1137.9381528818426
47.5,9.0,11864.780150042734,1186.4780150042734
47.5,10.0,11112.716569898019,1111.2716569898018
47.5,11.0,10233.023062702156,1023.3023062702156
47.5,12.0,10269.898794665894,1026.9898794665894
47.5,13.0,9521.527603003211,952.1527603003211
47.5,14.0,10386.380914109104,1038.6380914109104
47.5,15.0,11509.228282368891,1150.922828236889
48.5,6.0,11448.74294987943,1144.874294987943
48.5,7.0,9412.688051504032,941.2688051504032
48.5,8.0,11033.480881617495,1103.3480881617495
48.5,9.0,10810.582049437366,1081.0582049437367
48.5,10.0,10956.23434568565,1095.623434568565
48.5,11.0,10438.254087352281,1043.8254087352282
48.5,12.0,10092.542410855855,1009.2542410855855
48.5,13.0,10355.80946643078,1035.5809466430778
48.5,14.0,10423.73651015502,1042.373651015502
48.5,15.0,10730.914504435936,1073.0914504435937
49.5,6.0,10153.12211711346,1015.312211711346
49.5,7.0,9607.198960182086,960.7198960182086
49.5,8.0,10000.988995396885,1000.0988995396885
49.5,9.0,9617.961224901215,961.7961224901215
49.5,10.0,10488.962908623904,1048.8962908623903
49.5,11.0,10293.008837861209,1029.300883786121
49.5,12.0,11041.651439565834,1104.1651439565835
49.5,13.0,10706.292571143542,1070.6292571143542
49.5,14.0,11329.300285870908,1132.9300285870909
49.5,15.0,10238.765064356394,1023.8765064356394
50.5,6.0,9631.176869590803,963.1176869590803
50.5,7.0,9576.944592744523,957.6944592744524
50.5,8.0,10225.572756539586,1022.5572756539586
50.5,9.0,10430.390514181527,1043.0390514181527
50.5,10.0,9617.797472515267,961.7797472515267
50.5,11.0,9071.862477783798,907.1862477783798
50.5,12.0,9972.529922974982,997.2529922974982
50.5,13.0,9312.443085391631,931.2443085391631
50.5,14.0,10582.858856827843,1058.2858856827843
50.5,15.0,10944.30032495054,1094.430032495054
51.5,6.0,10103.108684115174,1010.3108684115174
51.5,7.0,9160.774385192153,916.0774385192153
51.5,8.0,10443.718561135705,1044.3718561135706
51.5,9.0,9787.024093784496,978.7024093784496
51.5,10.0,10126.610652369713,1012.6610652369712
51.5,11.0,10493.231482725962,1049.3231482725962
51.5,12.0,10218.90331371023,1021.8903313710231
51.5,13.0,10171.708022211482,1017.1708022211482
51.5,14.0,10949.516464098146,1094.9516464098147
51.5,15.0,9947.040402340264,994.7040402340265
52.5,6.0,9104.583634204162,910.4583634204162
52.5,7.0,8938.52214717751,893.8522147177509
52.5,8.0,10084.111881791261,1008.4111881791262
52.5,9.0,9577.23152392634,957.7231523926341
52.5,10.0,9560.279007826513,956.0279007826514
52.5,11.0,10209.944898226546,1020.9944898226546
52.5,12.0,10051.992392920161,1005.1992392920162
52.5,13.0,10987.841973988914,1098.7841973988914
52.5,14.0,10495.175072285645,1049.5175072285645
52.5,15.0,10133.060448449442,1013.3060448449442
53.5,6.0,9132.76177928849,913.276177928849
53.5,7.0,9723.240417123663,972.3240417123664
53.5,8.0,9206.592619601408,920.6592619601408
53.5,9.0,9411.413029484866,941.1413029484866
53.5,10.0,9799.517564312218,979.9517564312218
53.5,11.0,9162.765960323595,916.2765960323595
53.5,12.0,9927.909120391469,992.7909120391469
53.5,13.0,9718.139917170265,971.8139917170265
53.5,14.0,9706.740657625181,970.6740657625181
53.5,15.0,10312.193876949317,1031.2193876949318
54.5,6.0,,
54.5,7.0,,
54.5,8.0,,
54.5,9.0,9694.208975131307,969.4208975131307
54.5,10.0,8999.33887080344,899.933887080344
54.5,11.0,9826.537334888139,982.6537334888138
54.5,12.0,9712.866751021671,971.2866751021671
54.5,13.0,8429.372613250609,842.937261325061
54.5,14.0,,
54.5,15.0,,
